"","tract","id","meals","hot_meals","home_meals","community_kitchen","child_meals","meal_other","groceries","pantry","backpack","home_groceries","mobile_pantry","mobile_market","supply_other","community_garden","groceries_other","food_ben","snap","wic","school","gift","food_ben_other","nonfood_ben","job","house","utility","legal","educ","health","counseling","trans","cloth","ref","medicaid","money","nonfood_ben_other","clients","Street.Address","City","State","Zip","County","povpop10071","povpopd71","povpop_1m","povpopd711mile","povpop_3m","povpopd713mile","nhwht71","pop71","nhwht711mile","nhwht713mile","blk71","blk711mile","blk713mile","hsp71","hsp711mile","hsp713mile","hhsnapfam271","hhsnapfam171","hhsnapfam2711mile","hh711mile","hhsnapfam2713mile","hh713mile","pov_rateT","pov_rate1","pov_rate3","white_rateT","white_rate1","white_rate3","black_rateT","black_rate1","black_rate3","hisp_rateT","hisp_rate1","hisp_rate3","snap_rateT","snap_rate1","snap_rate3","tract_short","county_fips"
"99","26099255300","302","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,NA,NA,400,"16975 E Twelve Mile Rd.","Roseville","MI","48066","Macomb",479,3989,2915,12819,15459,130897,3036,4032,10041,112015,720,1955,11203,104,294,2934,526,1826,1306,5767,7409,54940,0.120080220606668,0.227396832826273,0.118100491225926,0.75297619047619,0.783290428270536,0.855749176833694,0.178571428571429,0.152507995943521,0.0855863770751049,0.0257936507936508,0.0229347062953429,0.0224145702346119,0.288061336254107,0.226460898213976,0.134856206771023,"099255300","099"
"100","26163530800","303","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,NA,NA,750,"9550 Grand River","Detroit","MI","48204","Wayne",1199,2200,8178,18243,70043,161369,31,2288,272,20347,2245,17970,130635,0,38,9866,330,726,3062,6949,22499,58128,0.545,0.448281532642657,0.434054868035372,0.013548951048951,0.014909828427342,0.126089893350024,0.981206293706294,0.985035356026969,0.809542105361005,0,0.00208299073617278,0.0611393762122837,0.454545454545455,0.440638940854799,0.387059592623176,"163530800","163"
"101","26163546900","305","Yes",NA,NA,NA,"Meals/Snacks for children",NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,NA,"Utility assistance",NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,NA,NA,5600,"18211 Plymouth Rd","Detroit","MI","48228","Wayne",276,1398,6984,18769,51511,151422,46,1413,452,25440,1334,18025,120796,70,341,3412,157,509,2529,6872,16831,52590,0.197424892703863,0.372102935691832,0.340181743736049,0.032554847841472,0.0240822633065161,0.168007290882435,0.944090587402689,0.960360168362726,0.797744053043811,0.0495399858457183,0.018168256167084,0.0225330533211819,0.308447937131631,0.368015133876601,0.320041833048108,"163546900","163"
"102","26125142700","307","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,"233 Bagley St","Pontiac","MI","48341","Oakland",866,3877,2725,12069,18953,63228,81,3896,3336,25980,3576,7808,27167,113,499,6575,411,1586,1088,5311,6072,25505,0.223368583956668,0.225785069185517,0.299756437021573,0.0207905544147844,0.276410638826746,0.410893907762384,0.917864476386037,0.646946723009363,0.429667236034668,0.0290041067761807,0.0413455961554396,0.103988739166192,0.259142496847415,0.204857842214272,0.238070966477161,"125142700","125"
"103","26125161800","313","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,"Mobile pantries",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,"Utility assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,"23333 West 10 Mile Road","Southfield","MI","48033","Oakland",358,4013,538,4013,11941,86803,648,4013,648,20713,3242,3242,63339,54,54,1253,177,1584,177,1584,6193,34972,0.0892100672813357,0.134064291054074,0.13756436989505,0.161475205581859,0.161475205581859,0.23862078499591,0.807874408173436,0.807874408173436,0.729686761978273,0.0134562671318216,0.0134562671318216,0.0144349849659574,0.111742424242424,0.111742424242424,0.177084524762667,"125161800","125"
"104","26125173100","314","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,"Housing assistance","Utility assistance",NA,NA,"Health services","Counseling","Transportation assistance",NA,NA,NA,"Financial assistance, tax prep, budgeting",NA,1687,"345 E. Nine Mile Rd.","Ferndale","MI","48220","Oakland",210,1573,2590,19417,26157,138882,1270,1573,16379,85094,139,1610,45385,12,450,2222,83,855,866,9143,9028,59025,0.133502860775588,0.133388268012566,0.188339741651186,0.80737444373808,0.843539166709584,0.612707190276638,0.0883661792752702,0.0829170314672709,0.326788208695151,0.00762873490146217,0.0231755678014111,0.0159991935600006,0.0970760233918129,0.0947172700426556,0.152952138924185,"125173100","125"
"105","26163533900","317","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"680 Virginia Park Street","Detroit","MI","48202","Wayne",1089,2631,5731,14836,60347,132993,292,2660,1666,22410,2291,12198,98666,4,100,2441,494,1709,2818,7268,21062,53919,0.413911060433295,0.386290105149636,0.453760724248645,0.109774436090226,0.112294418980857,0.168505109291466,0.861278195488722,0.822189269344837,0.741888670832299,0.00150375939849624,0.00674036128336479,0.0183543494770401,0.289057928613224,0.387727022564667,0.390622971494278,"163533900","163"
"106","26125140900","319","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Health services",NA,NA,NA,"Referrals to other programs",NA,NA,NA,300,"451 W. Kennett","Pontiac","MI","48340","Oakland",828,3412,3090,6757,21216,79179,1820,4808,2717,34114,1815,2470,30261,810,2259,12206,410,1117,944,2194,8632,32003,0.242672919109027,0.457303537072665,0.267949835183571,0.378535773710483,0.402101524345124,0.430846562851261,0.377495840266223,0.365546840313749,0.382184670177699,0.16846921797005,0.334319964481279,0.154157036587984,0.367054610564011,0.430264357338195,0.269724713308127,"125140900","125"
"107","26163564900","320","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes","SNAP/FAP",NA,NA,NA,NA,"Yes","Job training/assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Financial assistance, tax prep, budgeting",NA,2518,"4301 Lilley Road","Canton Township","MI","48188","Wayne",832,2336,913,2336,4315,57621,1669,2336,1669,38992,174,174,8108,221,221,1553,146,784,146,784,1493,20856,0.356164383561644,0.39083904109589,0.0748858922962115,0.714469178082192,0.714469178082192,0.676697731729751,0.074486301369863,0.074486301369863,0.140712587424724,0.0946061643835616,0.0946061643835616,0.0269519793130977,0.186224489795918,0.186224489795918,0.0715861143076333,"163564900","163"
"108","26125145501","321","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,"Housing assistance","Utility assistance",NA,NA,NA,NA,NA,NA,NA,NA,"Financial assistance, tax prep, budgeting",NA,300,"7170 Cooley Lake Road","Waterford","MI","48327","Oakland",372,3528,486,3528,3536,50885,2963,3528,2963,46406,131,131,1466,257,257,1473,64,1445,64,1445,1082,19714,0.105442176870748,0.137755102040816,0.0694900265304117,0.839852607709751,0.839852607709751,0.911977989584357,0.0371315192743764,0.0371315192743764,0.028810061904294,0.0728458049886621,0.0728458049886621,0.0289476270020635,0.0442906574394464,0.0442906574394464,0.0548848534036725,"125145501","125"
"109","26163505500","324","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,"Housing assistance",NA,NA,NA,NA,NA,NA,NA,"Referrals to other programs",NA,NA,NA,6390,"10100 Harper Avenue","Detroit","MI","48213","Wayne",699,1464,4799,9028,54996,127399,126,1464,229,14997,1301,8938,106187,21,21,1149,236,506,1406,3045,17601,41035,0.477459016393443,0.531568453699601,0.431683137230277,0.0860655737704918,0.0253655294638901,0.117716779566559,0.888661202185792,0.990031014621179,0.833499478017881,0.014344262295082,0.00232609658839167,0.00901890909661771,0.466403162055336,0.461740558292282,0.428926526136225,"163505500","163"
"110","26163570800","325","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,"27717 Carlysle Street","Inkster","MI","48141","Wayne",1044,3093,3309,11545,19558,104690,63,3111,1552,66402,2777,9288,30949,19,231,3758,360,1118,1195,4185,7729,39406,0.337536372453928,0.286617583369424,0.186818225236412,0.0202507232401157,0.134430489389346,0.634272614385328,0.892639022822244,0.80450411433521,0.295625179100201,0.00610736097717776,0.0200086617583369,0.0358964562040309,0.322003577817531,0.285543608124253,0.196137644013602,"163570800","163"
